key,rsrp,rsrq,sinr,cqi,ta,velocity,f,cellId
4:28,-90.38,-6.81,13.33,9.90,3.48,11.15,1815,26385408
4:29,-89.06,-6.11,14.67,10.72,3.17,12.65,1815,26385408
4:30,-88.85,-6.00,15.10,9.70,3.00,13.15,1815,26385408
4:31,-88.84,-6.53,15.89,10.05,3.53,13.13,1815,26385408
5:31,-85.00,-5.00,22.00,10.00,7.00,11.80,1815,26385408
5:32,-87.55,-6.09,16.09,10.91,3.18,12.97,1815,26385408
5:33,-84.91,-5.86,16.18,10.91,4.18,12.48,1815,26385408
5:34,-84.52,-6.09,15.22,12.39,4.65,10.82,1815,26385408
5:35,-85.81,-6.00,12.62,11.52,4.38,11.62,1815,26385408
5:36,-84.15,-6.54,9.77,9.65,3.35,10.49,1815,26385408
5:37,-82.42,-6.79,13.21,9.26,3.84,11.91,1815,29391105
5:38,-83.42,-6.31,20.81,12.23,3.88,10.35,1815,29391105
5:39,-83.31,-6.44,23.93,12.58,3.95,3.98,1815,29391105
5:40,-79.57,-5.76,25.71,13.32,3.97,0.95,1815,29391105
5:41,-84.36,-6.48,23.02,12.32,3.82,6.61,1815,29391105
6:41,-92.48,-6.56,15.16,10.32,3.96,9.71,1815,29391105
7:41,-93.45,-7.14,14.27,10.00,3.95,10.33,1815,29391105
8:40,-92.95,-7.10,14.00,10.95,3.86,10.11,1815,29391105
9:40,-95.33,-7.75,10.42,8.50,3.83,10.66,1815,29391105
10:40,-93.83,-7.92,10.50,9.33,3.96,10.60,1815,29391105
11:40,-89.73,-6.91,14.27,11.00,3.91,10.63,1815,29391105
11:39,-86.05,-6.05,18.68,11.05,4.05,10.73,1815,29391105
12:39,-87.59,-6.50,16.55,10.27,3.95,11.22,1815,29391105
13:39,-89.00,-7.00,11.00,11.00,3.33,12.18,1815,29391105
13:38,-91.32,-6.95,12.55,10.59,4.05,11.40,1815,29391105
14:38,-93.91,-7.36,11.68,9.64,3.95,11.32,1815,29391105
15:38,-98.14,-7.62,12.95,10.05,3.81,11.55,1815,29391105
16:38,-98.56,-8.25,14.50,11.00,4.06,10.90,1815,29391105
16:37,-97.40,-9.20,6.80,8.40,3.60,12.10,1815,29391105
17:37,-97.27,-8.87,8.53,8.80,3.87,12.24,1815,29391105
18:37,-97.77,-8.50,9.45,9.00,3.95,12.06,1815,29391105
19:37,-94.91,-8.32,14.82,10.32,3.95,11.83,1815,29391105
20:37,-90.79,-8.47,15.32,9.95,3.89,11.86,1815,29391105
21:37,-91.33,-8.17,11.67,11.00,4.00,10.03,1815,29391105
21:36,-90.88,-7.67,14.12,10.38,3.96,8.78,1815,29391105
22:36,-92.92,-9.70,9.79,8.95,3.98,1.97,1815,29391105
22:35,-92.96,-10.50,10.96,9.15,3.96,8.55,1815,29391104
22:34,-93.54,-9.83,9.46,9.12,3.96,11.47,1815,29391104
22:33,-93.65,-9.25,7.65,7.15,3.70,12.45,1815,29391104
22:32,-90.83,-8.00,14.25,10.00,3.67,12.74,1815,29391104
21:32,-88.50,-7.50,14.38,9.50,3.50,12.10,1815,29391104
21:31,-87.06,-7.09,17.25,11.31,3.81,7.39,1815,29391104
21:30,-87.23,-7.68,13.90,10.71,4.03,8.23,1815,29391104
21:29,-84.50,-6.60,17.60,10.05,3.60,12.25,1815,29391104
21:28,-83.37,-6.42,19.89,11.89,3.68,12.95,1815,29391104
20:27,-77.33,-5.83,21.50,13.25,3.75,13.47,1815,29391104
20:26,-79.89,-5.84,22.26,12.74,3.63,13.39,1815,29391104
20:25,-78.40,-5.50,24.70,12.85,3.55,13.24,1815,29391104
20:24,-79.20,-5.75,21.75,12.75,3.70,13.13,1815,29391104
20:23,-80.44,-6.50,22.50,11.88,3.56,11.93,1815,29391104
19:22,-81.33,-6.50,20.28,13.83,3.56,12.38,1815,29391104
19:21,-83.95,-7.25,16.80,12.50,3.65,13.48,1815,29391104
19:20,-84.78,-7.94,16.94,12.39,3.72,13.77,1815,29391104
19:19,-80.26,-7.74,14.63,12.05,3.58,13.86,1815,29391104
18:18,-82.50,-9.38,12.88,11.00,3.50,13.88,1815,29391104
18:17,-82.90,-9.20,10.05,10.10,3.50,14.09,1815,29391106
18:16,-83.00,-8.53,9.00,7.65,3.29,14.27,1815,29391106
18:15,-82.41,-8.00,10.47,9.88,3.00,14.51,1815,29391106
18:14,-83.40,-7.67,14.67,11.60,3.00,14.57,1815,29391106
17:14,-84.00,-7.50,12.50,9.50,3.00,13.64,1815,29391106
17:13,-82.82,-6.73,18.55,11.73,3.00,14.06,1815,29391106
17:12,-83.75,-7.45,15.35,10.45,3.00,14.08,1815,29391106
17:11,-85.62,-7.81,15.44,9.75,3.00,14.11,1815,29391106
17:10,-88.11,-7.89,14.17,10.22,3.00,14.09,1815,29391106
17:9,-89.24,-7.24,16.88,9.41,3.00,14.37,1815,29391106
16:9,-91.00,-7.50,10.00,9.00,3.00,14.21,1815,29391106
16:8,-90.29,-7.29,16.71,10.41,3.00,14.69,1815,29391106
16:7,-90.74,-7.53,14.79,9.79,3.00,14.61,1815,29391106
16:6,-91.00,-7.65,12.76,9.53,3.00,14.28,1815,29391106
16:5,-91.67,-7.67,12.28,8.94,3.00,14.01,1815,29391106
16:4,-91.78,-7.78,11.94,9.22,3.00,13.67,1815,29391106
15:3,-91.23,-8.23,10.77,9.38,3.00,13.48,1815,29391106
15:2,-92.33,-8.33,11.44,9.17,3.00,13.34,1815,29391106
15:1,-94.80,-8.25,6.90,8.55,3.40,11.65,1815,29391106
15:0,-91.97,-7.63,14.22,7.87,6.08,2.12,1815,26385410
16:0,-92.25,-7.36,11.84,7.65,6.67,1.64,1815,26385410
16:-1,-92.00,-7.00,12.00,7.00,7.00,4.24,1815,26385410
15:-1,-91.54,-7.77,12.59,8.44,6.56,6.18,1815,26385410
14:-1,-89.19,-6.92,16.46,9.50,6.58,9.49,1815,26385410
13:-1,-87.83,-6.87,23.00,11.00,6.52,11.30,1815,26385410
12:-1,-87.38,-6.90,17.33,10.33,6.52,11.78,1815,26385410
11:-1,-86.91,-7.17,22.09,10.30,6.52,12.04,1815,26385410
10:-1,-85.71,-7.06,22.35,11.53,6.53,12.18,1815,26385410
9:-1,-85.79,-7.00,21.11,11.95,6.58,12.23,1815,26385410
8:-1,-86.57,-6.86,22.43,11.33,6.52,12.41,1815,26385410
7:-1,-83.68,-6.36,24.00,11.41,6.55,12.62,1815,26385410
6:-1,-81.72,-6.33,25.50,12.89,6.50,12.67,1815,26385410
5:-1,-82.20,-5.95,27.10,13.90,6.55,12.55,1815,26385410
4:-1,-81.80,-6.25,27.30,13.70,6.50,12.66,1815,26385410
3:-1,-82.16,-6.42,24.32,13.05,6.53,11.95,1815,26385410
2:-1,-81.09,-6.35,24.96,13.22,6.57,11.20,1815,26385410
1:-1,-72.98,-6.26,27.23,13.35,6.70,2.77,1815,26385410
0:-1,-68.68,-6.11,29.42,13.23,6.40,1.42,1815,26385410
0:0,-69.19,-5.98,30.08,12.68,6.51,9.44,1815,26385410
0:1,-71.96,-6.00,29.43,12.48,6.57,11.20,1815,26385410
0:2,-71.24,-6.00,29.53,12.41,6.47,12.14,1815,26385410
0:3,-70.50,-6.65,23.55,12.15,6.55,12.42,1815,26385410
0:4,-72.35,-6.70,21.80,12.40,6.50,12.43,1815,26385410
0:5,-75.90,-7.81,18.67,10.52,6.52,12.89,1815,26385410
0:6,-76.24,-8.81,13.67,10.14,5.67,12.49,1815,26385410
0:7,-75.17,-8.28,13.44,10.33,3.50,12.45,1815,26385408
0:8,-72.57,-6.62,17.33,11.33,1.19,12.27,1815,26385408
0:9,-72.33,-6.62,18.67,11.71,1.19,12.17,1815,26385408
0:10,-74.29,-6.62,19.25,11.00,1.21,11.77,1815,26385408
0:11,-75.40,-6.25,20.80,11.30,1.20,12.00,1815,26385408
0:12,-74.77,-5.82,21.27,11.50,1.18,11.74,1815,26385408
0:13,-73.89,-5.67,21.11,11.94,1.17,11.90,1815,26385408
1:13,-73.75,-6.25,16.75,12.75,1.00,10.38,1815,26385408
1:14,-75.33,-6.11,18.07,11.30,1.19,9.35,1815,26385408
1:15,-76.29,-6.42,17.17,12.12,1.21,11.23,1815,26385408
1:16,-78.52,-6.17,19.00,11.57,1.17,11.22,1815,26385408
1:17,-78.90,-6.20,19.25,11.55,1.20,11.66,1815,26385408
1:18,-77.93,-6.00,20.00,11.21,1.14,12.20,1815,26385408
2:18,-76.50,-5.75,20.25,12.62,1.25,12.14,1815,26385408
2:19,-76.35,-5.85,19.85,11.50,1.15,12.54,1815,26385408
2:20,-76.90,-5.55,20.30,11.55,1.20,12.98,1815,26385408
2:21,-79.70,-5.95,17.55,12.05,1.20,12.96,1815,26385408
2:22,-79.70,-5.90,18.30,11.15,1.20,12.88,1815,26385408
2:23,-81.10,-6.20,15.60,11.20,1.10,12.45,1815,26385408
3:23,-81.67,-6.11,16.22,11.44,1.33,12.90,1815,26385408
3:24,-86.00,-6.42,13.79,11.74,1.21,12.54,1815,26385408
3:25,-87.38,-7.06,11.19,11.06,1.19,12.31,1815,26385408
3:26,-89.89,-6.78,11.89,11.06,1.28,12.30,1815,26385408
3:27,-90.25,-6.50,12.42,11.00,1.33,12.69,1815,26385408
4:27,-91.33,-6.67,15.00,10.67,3.33,8.26,1815,26385408
8:41,-92.00,-6.75,16.00,9.50,4.00,11.04,1815,29391105
17:38,-96.83,-8.83,8.83,10.67,4.17,11.45,1815,29391105
21:27,-77.29,-5.71,19.14,12.00,3.43,13.25,1815,29391104
20:22,-80.50,-6.00,21.00,13.50,3.50,9.92,1815,29391104
19:18,-78.55,-7.45,13.64,12.82,3.55,13.52,1815,29391104
18:13,-82.29,-7.14,20.14,11.57,3.00,14.60,1815,29391106
4:32,-88.00,-6.38,16.88,8.75,4.88,13.41,1815,26385408
7:40,-94.00,-10.00,6.50,7.50,4.00,10.63,1815,29391105
19:23,-83.25,-6.50,18.25,14.50,4.00,11.95,1815,29391104
16:3,-92.25,-9.00,15.00,8.00,3.00,13.07,1815,29391106
22:31,-87.00,-6.00,16.00,11.00,3.00,13.52,1815,29391104
15:4,-91.00,-7.00,12.00,14.00,3.00,14.44,1815,29391106
3:28,-95.00,-7.00,17.00,2.00,7.00,7.88,1815,26385408
17:8,-87.00,-10.00,13.00,10.00,3.00,14.73,1815,29391106
16:2,-93.67,-8.67,12.33,8.67,3.00,10.36,1815,29391106
16:1,-96.33,-7.33,0.67,10.33,3.00,8.44,1815,29391106
20:36,-91.00,-7.00,15.00,10.00,4.00,13.67,1815,29391105
